EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     26              29          0.896552

Graph Name                    Results  Reason
--------------------------  ---------  ----------------------
idArea1_subgraph                   48  Successfully generated
idBear1_subgraph                 1133  Successfully generated
idCrowbar1_subgraph_idDescriptor_2         True            MRS composed                               True               Included in MRS
idCrowbar1_subgraph_idDescriptor_5         True            MRS composed                               True               Included in MRS
idCrowbar1_subgraph_idImmovable_4          False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idCrowbar1_subgraph_idUnknownObject_3      False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idCrowbar1_subgraph_isEastOf_7             True            MRS composed                               True               Included in MRS
idCrowbar1_subgraph_isWestOf_6             True            MRS composed                               True               Included in MRS
idHorse1_subgraph_idColor_1                True            MRS composed                               True               Included in MRS
idLock1_subgraph_idColor_2                 True            MRS composed                               True               Included in MRS
idLock1_subgraph_idImmovable_3             False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idLock1_subgraph_idLockedState_1           True            MRS composed                               True               Included in MRS
idLock1_subgraph_isWestOf_4                True            MRS composed                               True               Included in MRS
idMan1_subgraph_idDescriptor__3            True            MRS composed                               True               Included in MRS
idMan1_subgraph_idImmovable_2              False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idMan1_subgraph_idUnknownObject_1          False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idPlayerBackside_subgraph_idDescriptor_1   True            MRS composed                               True               Included in MRS
idPlayerBackside_subgraph_idDescriptor_4   True            MRS composed                               True               Included in MRS
idPlayerBackside_subgraph_idDescriptor__5  True            MRS composed                               True               Included in MRS
idPlayerBackside_subgraph_isEastOf_2       True            MRS composed                               True               Included in MRS
idPlayerBackside_subgraph_isEastOf_7       True            MRS composed                               True               Included in MRS
idPlayerBackside_subgraph_isWestOf_3       True            MRS composed                               True               Included in MRS
idPlayerBackside_subgraph_isWestOf_6       True            MRS composed                               True               Included in MRS
idPlayerLeftHand_subgraph_idDescriptor__2  False           Inbound to failed node                     False              Inbound to failed node
idPlayerLeftHand_subgraph_idDescriptor__3  True            MRS composed                               True               Included in MRS
idPlayerLeftHand_subgraph_idLocation_1     True            MRS composed                               True               Included in MRS
idPlayerLeftHand_subgraph_isWestOf_4       True            MRS composed                               True               Included in MRS
idPlayerRightHand_subgraph_idLocation_1    True            MRS composed                               True               Included in MRS
idPlayer_subgraph_idEatenBerry_1           False           'idEatenBerry' has no value in lexicon     False              'idEatenBerry' has no value in lexicon
idPlayer_subgraph_isEastOf_2               True            MRS composed                               True               Included in MRS
idSmoke1_subgraph_idImmovable_1            False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idSmoke1_subgraph_idImmovable_3            False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idSmoke1_subgraph_idSize_2                 True            MRS composed                               True               Included in MRS
idSmoke1_subgraph_isEastOf_4               True            MRS composed                               True               Included in MRS
idSpill1_subgraph_idColor_1                True            MRS composed                               True               Included in MRS
idSpill1_subgraph_idImmovable_2            False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idSpill1_subgraph_isEastOf_3               True            MRS composed                               True               Included in MRS
idStump1_subgraph_idColor_8                True            MRS composed                               True               Included in MRS
idStump1_subgraph_idDescriptor_2           True            MRS composed                               True               Included in MRS
idStump1_subgraph_idDescriptor_4           True            MRS composed                               True               Included in MRS
idStump1_subgraph_idDescriptor__1          True            MRS composed                               True               Included in MRS
idStump1_subgraph_idDescriptor__5          False           Inbound to failed node                     False              Inbound to failed node
idStump1_subgraph_idImmovable_3            False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idStump1_subgraph_isNear_6                 True            MRS composed                               True               Included in MRS
idStump1_subgraph_isNorthOf_9              True            MRS composed                               True               Included in MRS
idStump1_subgraph_isWestOf_7               True            MRS composed                               True               Included in MRS
idTheCarRoom1_subgraph_idColor_2           True            MRS composed                               True               Included in MRS
idTheCarRoom1_subgraph_idDescriptor_1      True            MRS composed                               True               Included in MRS
idTheCarRoom1_subgraph_idImmovable_3       False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idTheCarRoom1_subgraph_isEastOf_4          True            MRS composed                               True               Included in MRS
idTheCarRoom1_subgraph_isWestOf_5          True            MRS composed                               True               Included in MRS
idTire1_subgraph_idColor_1                 True            MRS composed                               True               Included in MRS
idTrunk1_subgraph_idColor_1                True            MRS composed                               True               Included in MRS
idTrunk1_subgraph_idColor_5                True            MRS composed                               True               Included in MRS
idTrunk1_subgraph_idColor_7                True            MRS composed                               True               Included in MRS
idTrunk1_subgraph_idDescriptor_2           True            MRS composed                               True               Included in MRS
idTrunk1_subgraph_idDescriptor_4           True            MRS composed                               True               Included in MRS
idTrunk1_subgraph_idDescriptor__3          True            MRS composed                               True               Included in MRS
idTrunk1_subgraph_idUnknownObject_8        False           'idUnknownObject' has no value in lexicon  False              'idUnknownObject' has no value in lexicon
idTrunk1_subgraph_isEastOf_9               True            MRS composed                               True               Included in MRS
idTrunk1_subgraph_isWestOf_6               True            MRS composed                               True               Included in MRS
idWhistle1_subgraph_idColor_2              True            MRS composed                               True               Included in MRS
idWhistle1_subgraph_idDescriptor_1         True            MRS composed                               True               Included in MRS
idWhistle1_subgraph_idImmovable_3          False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idWhistle1_subgraph_idLitState_5           True            MRS composed                               True               Included in MRS
idWhistle1_subgraph_isEastOf_4             True            MRS composed                               True               Included in MRS
idWhistle1_subgraph_isEastOf_6             True            MRS composed                               True               Included in MRS
idWindow1_subgraph_idDescriptor_3          True            MRS composed                               True               Included in MRS
idWindow1_subgraph_idImmovable_2           False           'idImmovable' has no value in lexicon      False              'idImmovable' has no value in lexicon
idWindow1_subgraph_idOwnedBy_1             False           Inbound to failed node                     False              Inbound to failed node
